Timestamp,Host Name,Status,Average Time
2025-04-19 18:25:30,Uniwersytet Szczecin,Success,26.186
2025-04-19 18:25:18,Google DNS,Success,18.042
2025-04-19 18:25:03,Cloudflare DNS,Success,11.726
2025-04-19 18:25:03,Google DNS Secondary,Success,12.747
2025-04-19 18:24:53,Uniwersytet Szczecin,Success,22.856
2025-04-19 18:24:26,Cloudflare DNS,Success,11.223
2025-04-19 18:24:26,Google DNS Secondary,Success,11.446
2025-04-19 18:24:16,Uniwersytet Szczecin,Success,19.596
2025-04-19 18:24:11,Google DNS,Success,15.233
2025-04-19 18:23:49,Google DNS Secondary,Success,14.459
2025-04-19 18:23:49,Cloudflare DNS,Success,14.183
2025-04-19 18:23:38,Uniwersytet Szczecin,Success,25.846
2025-04-19 18:23:12,Cloudflare DNS,Success,14.37
2025-04-19 18:23:12,Google DNS Secondary,Success,14.721
2025-04-19 18:23:04,Google DNS,Success,16.832
2025-04-19 18:23:01,Uniwersytet Szczecin,Success,25.467
2025-04-19 18:22:35,Cloudflare DNS,Success,19.933
2025-04-19 18:22:35,Google DNS Secondary,Success,20.785
2025-04-19 18:22:24,Uniwersytet Szczecin,Success,24.227
2025-04-19 18:21:58,Cloudflare DNS,Success,22.439
2025-04-19 18:21:58,Google DNS Secondary,Success,24.069
2025-04-19 18:21:57,Google DNS,Success,23.887
2025-04-19 18:21:47,Uniwersytet Szczecin,Success,28.64
2025-04-19 18:21:20,Google DNS Secondary,Success,15.22
2025-04-19 18:21:20,Cloudflare DNS,Success,16.788
2025-04-19 18:21:10,Uniwersytet Szczecin,Success,25.664
2025-04-19 18:20:50,Google DNS,Success,17.37
2025-04-19 18:20:43,Cloudflare DNS,Success,18.811
2025-04-19 18:20:43,Google DNS Secondary,Success,18.177
2025-04-19 18:20:33,Uniwersytet Szczecin,Success,27.287
2025-04-19 18:20:06,Cloudflare DNS,Success,27.91
2025-04-19 18:20:06,Google DNS Secondary,Success,24.867
2025-04-19 18:19:56,Uniwersytet Szczecin,Success,26.01
2025-04-19 18:19:43,Google DNS,Success,17.191
2025-04-19 18:19:29,Google DNS Secondary,Success,18.372
2025-04-19 18:19:29,Cloudflare DNS,Success,18.682
2025-04-19 18:19:19,Uniwersytet Szczecin,Success,28.975
2025-04-19 18:18:52,Google DNS Secondary,Success,17.373
2025-04-19 18:18:52,Cloudflare DNS,Success,17.162
2025-04-19 18:18:42,Uniwersytet Szczecin,Success,25.682
2025-04-19 18:18:36,Google DNS,Success,18.052
2025-04-19 18:18:15,Google DNS Secondary,Success,15.581
2025-04-19 18:18:15,Cloudflare DNS,Success,15.598
2025-04-19 18:18:05,Uniwersytet Szczecin,Success,27.503
2025-04-19 18:17:38,Google DNS Secondary,Success,17.548
2025-04-19 18:17:38,Cloudflare DNS,Success,15.345
2025-04-19 18:17:29,Google DNS,Success,13.954
2025-04-19 18:17:28,Uniwersytet Szczecin,Success,27.275
2025-04-19 18:17:01,Google DNS Secondary,Success,21.727
2025-04-19 18:17:01,Cloudflare DNS,Success,17.161
2025-04-19 18:16:50,Uniwersytet Szczecin,Success,27.419
2025-04-19 18:16:24,Google DNS Secondary,Success,16.535
2025-04-19 18:16:24,Cloudflare DNS,Success,17.681
2025-04-19 18:16:22,Google DNS,Success,16.441
2025-04-19 18:16:13,Uniwersytet Szczecin,Success,26.638
2025-04-19 18:15:47,Google DNS Secondary,Success,15.495
2025-04-19 18:15:47,Cloudflare DNS,Success,14.866
2025-04-19 18:15:36,Uniwersytet Szczecin,Success,38.099
2025-04-19 18:15:14,Google DNS,Success,16.137
2025-04-19 18:15:10,Google DNS Secondary,Success,22.498
2025-04-19 18:15:10,Cloudflare DNS,Success,21.693
2025-04-19 18:14:59,Uniwersytet Szczecin,Success,22.665
2025-04-19 18:14:33,Cloudflare DNS,Success,14.642
2025-04-19 18:14:33,Google DNS Secondary,Success,14.743
2025-04-19 18:14:22,Uniwersytet Szczecin,Success,22.288
2025-04-19 18:14:07,Google DNS,Success,24.137
2025-04-19 18:13:56,Cloudflare DNS,Success,15.23
2025-04-19 18:13:56,Google DNS Secondary,Success,14.843
2025-04-19 18:13:45,Uniwersytet Szczecin,Success,22.317
2025-04-19 18:13:18,Google DNS Secondary,Success,13.606
2025-04-19 18:13:18,Cloudflare DNS,Success,12.174
2025-04-19 18:13:08,Uniwersytet Szczecin,Success,21.847
2025-04-19 18:13:00,Google DNS,Success,14.22
2025-04-19 18:12:41,Cloudflare DNS,Success,12.52
2025-04-19 18:12:41,Google DNS Secondary,Success,14.915
2025-04-19 18:12:31,Uniwersytet Szczecin,Success,19.855
2025-04-19 18:12:04,Cloudflare DNS,Success,10.471
2025-04-19 18:12:04,Google DNS Secondary,Success,10.955
2025-04-19 18:11:54,Uniwersytet Szczecin,Success,20.567
2025-04-19 18:11:53,Google DNS,Success,11.313
2025-04-19 18:11:27,Cloudflare DNS,Success,12.216
2025-04-19 18:11:27,Google DNS Secondary,Success,14.883
2025-04-19 18:11:17,Uniwersytet Szczecin,Success,21.286
2025-04-19 18:10:50,Google DNS Secondary,Success,10.096
2025-04-19 18:10:50,Cloudflare DNS,Success,12.363
2025-04-19 18:10:46,Google DNS,Success,16.805
2025-04-19 18:10:40,Uniwersytet Szczecin,Success,29.956
2025-04-19 18:09:47,Google DNS Secondary,Success,14.994
